GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trees,trees,Node,0,12,0,0,0,5,0,1,0,1
trees,trees,TreeOperations,0,93,0,12,0,18,0,11,0,5
